"icon-asset","icon-name"
"foggy","Foggy"
"woman_2","Woman 2"
"no_adult_content","No Adult Content"
"volcano","Volcano"
"6_ft_apart","6 Ft Apart"
"man_2","Man 2"
"blind","Blind"
"18_up_rating","18 Up Rating"
"partner_exchange","Partner Exchange"
"not_accessible","Not Accessible"
"vape_free","Vape Free"
"man_4","Man 4"
"radiology","Radiology"
"rib_cage","Rib Cage"
"hand_bones","Hand Bones"
"bedtime_off","Bedtime Off"
"rheumatology","Rheumatology"
"man_3","Man 3"
"orthopedics","Orthopedics"
"tibia","Tibia"
"skeleton","Skeleton"
"humerus","Humerus"
"communities","Communities"
"foot_bones","Foot Bones"
"cognition","Cognition"
"agender","Agender"
"femur","Femur"
"tibia_alt","Tibia Alt"
"diversity_4","Diversity 4"
"femur_alt","Femur Alt"
"humerus_alt","Humerus Alt"
"neurology","Neurology"
"ulna_radius","Ulna Radius"
"digital_wellbeing","Digital Wellbeing"
"person_raised_hand","Person Raised Hand"
"ulna_radius_alt","Ulna Radius Alt"
"psychiatry","Psychiatry"
"eyeglasses","Eyeglasses"
"labs","Labs"
"specific_gravity","Specific Gravity"
"globe","Globe"
"crowdsource","Crowdsource"
"footprint","Footprint"
"social_leaderboard","Social Leaderboard"
"breastfeeding","Breastfeeding"
"tactic","Tactic"
"vital_signs","Vital Signs"
"globe_asia","Globe Asia"
"strategy","Strategy"
"nutrition","Nutrition"
"demography","Demography"
"sentiment_sad","Sentiment Sad"
"globe_uk","Globe Uk"
"mystery","Mystery"
"stethoscope","Stethoscope"
"clinical_notes","Clinical Notes"
"sentiment_calm","Sentiment Calm"
"sentiment_excited","Sentiment Excited"
"chess","Chess"
"taunt","Taunt"
"conditions","Conditions"
"sentiment_stressed","Sentiment Stressed"
"lab_research","Lab Research"
"pill","Pill"
"crossword","Crossword"
"folded_hands","Folded Hands"
"person_alert","Person Alert"
"genetics","Genetics"
"home_health","Home Health"
"prescriptions","Prescriptions"
"altitude","Altitude"
"cardiology","Cardiology"
"glucose","Glucose"
"deceased","Deceased"
"domino_mask","Domino Mask"
"not_accessible_forward","Not Accessible Forward"
"wrist","Wrist"
"cheer","Cheer"
"cookie_off","Cookie Off"
"person_check","Person Check"
"share_off","Share Off"
"falling","Falling"
"mountain_flag","Mountain Flag"
"weather_hail","Weather Hail"
"weather_mix","Weather Mix"
"emoticon","Emoticon"
"barefoot","Barefoot"
"earthquake","Earthquake"
"microbiology","Microbiology"
"recent_patient","Recent Patient"
"sentiment_content","Sentiment Content"
"editor_choice","Editor Choice"
"mist","Mist"
"sentiment_frustrated","Sentiment Frustrated"
"person_apron","Person Apron"
"playing_cards","Playing Cards"
"prayer_times","Prayer Times"
"sword_rose","Sword Rose"
"water_bottle","Water Bottle"
"lab_panel","Lab Panel"
"raven","Raven"
"dew_point","Dew Point"
"helicopter","Helicopter"
"metabolism","Metabolism"
"dermatology","Dermatology"
"sentiment_worried","Sentiment Worried"
"bomb","Bomb"
"ent","Ent"
"pulmonology","Pulmonology"
"destruction","Destruction"
"explosion","Explosion"
"body_system","Body System"
"nephrology","Nephrology"
"pulse_alert","Pulse Alert"
"water_lux","Water Lux"
"comic_bubble","Comic Bubble"
"infrared","Infrared"
"oral_disease","Oral Disease"
"oxygen_saturation","Oxygen Saturation"
"rainy_snow","Rainy Snow"
"ward","Ward"
"congenital","Congenital"
"person_cancel","Person Cancel"
"stethoscope_check","Stethoscope Check"
"water_ph","Water Ph"
"allergies","Allergies"
"blood_pressure","Blood Pressure"
"humidity_percentage","Humidity Percentage"
"manga","Manga"
"family_star","Family Star"
"outpatient","Outpatient"
"pregnancy","Pregnancy"
"snowing_heavy","Snowing Heavy"
"stethoscope_arrow","Stethoscope Arrow"
"water_voc","Water Voc"
"allergy","Allergy"
"mixture_med","Mixture Med"
"ophthalmology","Ophthalmology"
"pediatrics","Pediatrics"
"symptoms","Symptoms"
"water_bottle_large","Water Bottle Large"
"water_do","Water Do"
"wounds_injuries","Wounds Injuries"
"body_fat","Body Fat"
"gastroenterology","Gastroenterology"
"gynecology","Gynecology"
"immunology","Immunology"
"oncology","Oncology"
"rainy_light","Rainy Light"
"respiratory_rate","Respiratory Rate"
"short_stay","Short Stay"
"syringe","Syringe"
"water_orp","Water Orp"
"admin_meds","Admin Meds"
"candle","Candle"
"endocrinology","Endocrinology"
"fluid_balance","Fluid Balance"
"hematology","Hematology"
"inpatient","Inpatient"
"kid_star","Kid Star"
"moving_beds","Moving Beds"
"procedure","Procedure"
"rainy_heavy","Rainy Heavy"
"salinity","Salinity"
"surgical","Surgical"
"water_ec","Water Ec"
"fluid","Fluid"
"fluid_med","Fluid Med"
"medical_mask","Medical Mask"
"outpatient_med","Outpatient Med"
"pill_off","Pill Off"
"total_dissolved_solids","Total Dissolved Solids"
"urology","Urology"
"account_circle","Account Circle"
"info","Info"
"visibility","Visibility"
"calendar_month","Calendar Month"
"schedule","Schedule"
"help","Help"
"warning","Warning"
"language","Language"
"lock","Lock"
"error","Error"
"visibility_off","Visibility Off"
"verified","Verified"
"manage_accounts","Manage Accounts"
"history","History"
"task_alt","Task Alt"
"event","Event"
"bookmark","Bookmark"
"calendar_today","Calendar Today"
"lightbulb","Lightbulb"
"question_mark","Question Mark"
"fingerprint","Fingerprint"
"category","Category"
"update","Update"
"lock_open","Lock Open"
"priority_high","Priority High"
"code","Code"
"build","Build"
"date_range","Date Range"
"upload_file","Upload File"
"supervisor_account","Supervisor Account"
"event_available","Event Available"
"ads_click","Ads Click"
"today","Today"
"touch_app","Touch App"
"pending","Pending"
"preview","Preview"
"stars","Stars"
"new_releases","New Releases"
"bug_report","Bug Report"
"celebration","Celebration"
"account_box","Account Box"
"translate","Translate"
"how_to_reg","How To Reg"
"push_pin","Push Pin"
"alarm","Alarm"
"edit_calendar","Edit Calendar"
"edit_square","Edit Square"
"label","Label"
"extension","Extension"
"event_note","Event Note"
"record_voice_over","Record Voice Over"
"rate_review","Rate Review"
"web","Web"
"hourglass_empty","Hourglass Empty"
"published_with_changes","Published With Changes"
"support","Support"
"notification_important","Notification Important"
"accessibility_new","Accessibility New"
"help_center","Help Center"
"bookmarks","Bookmarks"
"pan_tool_alt","Pan Tool Alt"
"dangerous","Dangerous"
"supervised_user_circle","Supervised User Circle"
"interests","Interests"
"collections_bookmark","Collections Bookmark"
"all_inclusive","All Inclusive"
"rule","Rule"
"priority","Priority"
"change_history","Change History"
"event_upcoming","Event Upcoming"
"build_circle","Build Circle"
"api","Api"
"wysiwyg","Wysiwyg"
"pan_tool","Pan Tool"
"hotel_class","Hotel Class"
"circle_notifications","Circle Notifications"
"manage_history","Manage History"
"web_asset","Web Asset"
"accessible","Accessible"
"upgrade","Upgrade"
"input","Input"
"bookmark_add","Bookmark Add"
"lock_reset","Lock Reset"
"event_busy","Event Busy"
"model_training","Model Training"
"more_time","More Time"
"flutter_dash","Flutter Dash"
"save_as","Save As"
"backup","Backup"
"accessibility","Accessibility"
"dynamic_feed","Dynamic Feed"
"alarm_on","Alarm On"
"pageview","Pageview"
"home_app_logo","Home App Logo"
"label_important","Label Important"
"perm_contact_calendar","Perm Contact Calendar"
"approval","Approval"
"square_foot","Square Foot"
"history_toggle_off","History Toggle Off"
"more","More"
"swipe","Swipe"
"component_exchange","Component Exchange"
"event_repeat","Event Repeat"
"bookmark_added","Bookmark Added"
"app_shortcut","App Shortcut"
"unpublished","Unpublished"
"open_in_browser","Open In Browser"
"notification_add","Notification Add"
"offline_bolt","Offline Bolt"
"no_accounts","No Accounts"
"free_cancellation","Free Cancellation"
"running_with_errors","Running With Errors"
"background_replace","Background Replace"
"webhook","Webhook"
"anchor","Anchor"
"3d_rotation","3d Rotation"
"lock_person","Lock Person"
"new_label","New Label"
"lock_clock","Lock Clock"
"accessible_forward","Accessible Forward"
"auto_delete","Auto Delete"
"add_alert","Add Alert"
"domain_verification","Domain Verification"
"outbound","Outbound"
"gesture","Gesture"
"hand_gesture","Hand Gesture"
"tab","Tab"
"chrome_reader_mode","Chrome Reader Mode"
"settings_power","Settings Power"
"online_prediction","Online Prediction"
"lightbulb_circle","Lightbulb Circle"
"edit_notifications","Edit Notifications"
"find_replace","Find Replace"
"offline_pin","Offline Pin"
"backup_table","Backup Table"
"ad_units","Ad Units"
"wifi_protected_setup","Wifi Protected Setup"
"http","Http"
"bookmark_remove","Bookmark Remove"
"alarm_add","Alarm Add"
"pinch_zoom_out","Pinch Zoom Out"
"on_device_training","On Device Training"
"feedback","Feedback"
"target","Target"
"snooze","Snooze"
"batch_prediction","Batch Prediction"
"code_off","Code Off"
"pinch_zoom_in","Pinch Zoom In"
"commit","Commit"
"hourglass_disabled","Hourglass Disabled"
"settings_overscan","Settings Overscan"
"polymer","Polymer"
"youtube_activity","Youtube Activity"
"logo_dev","Logo Dev"
"manufacturing","Manufacturing"
"time_auto","Time Auto"
"voice_over_off","Voice Over Off"
"person_add_disabled","Person Add Disabled"
"alarm_off","Alarm Off"
"update_disabled","Update Disabled"
"timer_10_alt_1","Timer 10 Alt 1"
"rounded_corner","Rounded Corner"
"label_off","Label Off"
"timer_3_alt_1","Timer 3 Alt 1"
"all_out","All Out"
"tab_unselected","Tab Unselected"
"rsvp","Rsvp"
"web_traffic","Web Traffic"
"web_asset_off","Web Asset Off"
"pin_invoke","Pin Invoke"
"pin_end","Pin End"
"code_blocks","Code Blocks"
"arrow_selector_tool","Arrow Selector Tool"
"approval_delegation","Approval Delegation"
"developer_guide","Developer Guide"
"contacts_product","Contacts Product"
"license","License"
"flutter","Flutter"
"feature_search","Feature Search"
"reminder","Reminder"
"lists","Lists"
"problem","Problem"
"user_attributes","User Attributes"
"award_star","Award Star"
"browse","Browse"
"sdk","Sdk"
"visibility_lock","Visibility Lock"
"release_alert","Release Alert"
"data_loss_prevention","Data Loss Prevention"
"ad_group","Ad Group"
"select_window","Select Window"
"settings_account_box","Settings Account Box"
"lock_open_right","Lock Open Right"
"pan_zoom","Pan Zoom"
"search_hands_free","Search Hands Free"
"ad","Ad"
"circles_ext","Circles Ext"
"draft_orders","Draft Orders"
"calendar_clock","Calendar Clock"
"hourglass","Hourglass"
"ad_group_off","Ad Group Off"
"gesture_select","Gesture Select"
"account_child_invert","Account Child Invert"
"account_child","Account Child"
"shadow","Shadow"
"add_ad","Add Ad"
"bookmark_manager","Bookmark Manager"
"watch_screentime","Watch Screentime"
"info_i","Info I"
"indeterminate_question_box","Indeterminate Question Box"
"shift","Shift"
"account_circle_off","Account Circle Off"
"ad_off","Ad Off"
"select_window_off","Select Window Off"
"circles","Circles"
"unlicense","Unlicense"
"alarm_smart_wake","Alarm Smart Wake"
"help_clinic","Help Clinic"
"water_lock","Water Lock"
"scrollable_header","Scrollable Header"
"warning_off","Warning Off"
"supervised_user_circle_off","Supervised User Circle Off"
"delete_history","Delete History"
"person_edit","Person Edit"
"preview_off","Preview Off"
"domain_verification_off","Domain Verification Off"
"shadow_add","Shadow Add"
"measuring_tape","Measuring Tape"
"shift_lock","Shift Lock"
"shadow_minus","Shadow Minus"
"history_off","History Off"
"mail","Mail"
"call","Call"
"notifications","Notifications"
"send","Send"
"chat","Chat"
"link","Link"
"forum","Forum"
"inventory_2","Inventory 2"
"phone_in_talk","Phone In Talk"
"chat_bubble","Chat Bubble"
"contact_support","Contact Support"
"notifications_active","Notifications Active"
"alternate_email","Alternate Email"
"sms","Sms"
"comment","Comment"
"power_settings_new","Power Settings New"
"hub","Hub"
"person_search","Person Search"
"import_contacts","Import Contacts"
"contacts","Contacts"
"contact_mail","Contact Mail"
"live_help","Live Help"
"forward_to_inbox","Forward To Inbox"
"reviews","Reviews"
"mark_email_unread","Mark Email Unread"
"lan","Lan"
"hourglass_top","Hourglass Top"
"contact_phone","Contact Phone"
"mode_comment","Mode Comment"
"inbox","Inbox"
"drafts","Drafts"
"outgoing_mail","Outgoing Mail"
"hourglass_bottom","Hourglass Bottom"
"mark_email_read","Mark Email Read"
"link_off","Link Off"
"calendar_add_on","Calendar Add On"
"add_comment","Add Comment"
"phone_enabled","Phone Enabled"
"g_translate","G Translate"
"speaker_notes","Speaker Notes"
"perm_phone_msg","Perm Phone Msg"
"co_present","Co Present"
"notifications_off","Notifications Off"
"call_end","Call End"
"topic","Topic"
"cell_tower","Cell Tower"
"mark_chat_unread","Mark Chat Unread"
"schedule_send","Schedule Send"
"dialpad","Dialpad"
"call_made","Call Made"
"satellite_alt","Satellite Alt"
"mark_unread_chat_alt","Mark Unread Chat Alt"
"unarchive","Unarchive"
"3p","3p"
"cancel_presentation","Cancel Presentation"
"move_to_inbox","Move To Inbox"
"mark_as_unread","Mark As Unread"
"next_plan","Next Plan"
"attach_email","Attach Email"
"phonelink_ring","Phonelink Ring"
"unsubscribe","Unsubscribe"
"phone_callback","Phone Callback"
"call_received","Call Received"
"settings_phone","Settings Phone"
"call_split","Call Split"
"present_to_all","Present To All"
"add_call","Add Call"
"markunread_mailbox","Markunread Mailbox"
"all_inbox","All Inbox"
"voice_chat","Voice Chat"
"phone_forwarded","Phone Forwarded"
"mail_lock","Mail Lock"
"attribution","Attribution"
"voicemail","Voicemail"
"duo","Duo"
"contact_emergency","Contact Emergency"
"mark_chat_read","Mark Chat Read"
"upcoming","Upcoming"
"phone_disabled","Phone Disabled"
"swap_calls","Swap Calls"
"outbox","Outbox"
"phonelink_lock","Phonelink Lock"
"spoke","Spoke"
"picture_in_picture_alt","Picture In Picture Alt"
"cancel_schedule_send","Cancel Schedule Send"
"ring_volume","Ring Volume"
"notifications_paused","Notifications Paused"
"quickreply","Quickreply"
"phone_missed","Phone Missed"
"comment_bank","Comment Bank"
"chat_add_on","Chat Add On"
"send_and_archive","Send And Archive"
"picture_in_picture","Picture In Picture"
"phonelink_erase","Phonelink Erase"
"settings_bluetooth","Settings Bluetooth"
"comments_disabled","Comments Disabled"
"video_chat","Video Chat"
"score","Score"
"pause_presentation","Pause Presentation"
"speaker_phone","Speaker Phone"
"cell_wifi","Cell Wifi"
"speaker_notes_off","Speaker Notes Off"
"auto_read_play","Auto Read Play"
"mms","Mms"
"call_merge","Call Merge"
"play_for_work","Play For Work"
"call_missed_outgoing","Call Missed Outgoing"
"call_missed","Call Missed"
"wifi_channel","Wifi Channel"
"calendar_apps_script","Calendar Apps Script"
"phone_paused","Phone Paused"
"rtt","RTT"
"auto_read_pause","Auto Read Pause"
"phone_locked","Phone Locked"
"wifi_calling","Wifi Calling"
"chat_apps_script","Chat Apps Script"
"sip","Sip"
"dialer_sip","Dialer Sip"
"nat","Nat"
"phone_bluetooth_speaker","Phone Bluetooth Speaker"
"e911_avatar","E911 Avatar"
"inbox_customize","Inbox Customize"
"stacked_email","Stacked Email"
"tooltip","Tooltip"
"business_messages","Business Messages"
"for_you","For You"
"chat_error","Chat Error"
"chat_paste_go","Chat Paste Go"
"notification_multiple","Notification Multiple"
"ods","Ods"
"picture_in_picture_small","Picture In Picture Small"
"call_quality","Call Quality"
"notifications_unread","Notifications Unread"
"picture_in_picture_off","Picture In Picture Off"
"call_log","Call Log"
"network_intelligence_update","Network Intelligence Update"
"thread_unread","Thread Unread"
"chat_info","Chat Info"
"outbox_alt","Outbox Alt"
"signal_cellular_add","Signal Cellular Add"
"odt","Odt"
"network_intelligence_history","Network Intelligence History"
"phonelink_ring_off","Phonelink Ring Off"
"picture_in_picture_medium","Picture In Picture Medium"
"stacked_inbox","Stacked Inbox"
"network_manage","Network Manage"
"wifi_add","Wifi Add"
"picture_in_picture_center","Picture In Picture Center"
"wifi_proxy","Wifi Proxy"
"picture_in_picture_large","Picture In Picture Large"
"picture_in_picture_mobile","Picture In Picture Mobile"
"edit","Edit"
"photo_camera","Photo Camera"
"filter_alt","Filter Alt"
"image","Image"
"navigate_next","Navigate Next"
"tune","Tune"
"timer","Timer"
"picture_as_pdf","Picture As Pdf"
"circle","Circle"
"palette","Palette"
"add_a_photo","Add A Photo"
"photo_library","Photo Library"
"navigate_before","Navigate Before"
"auto_stories","Auto Stories"
"add_photo_alternate","Add Photo Alternate"
"brush","Brush"
"imagesmode","Imagesmode"
"nature","Nature"
"flash_on","Flash On"
"wb_sunny","Wb Sunny"
"camera","Camera"
"looks_one","Looks One"
"straighten","Straighten"
"landscape","Landscape"
"timelapse","Timelapse"
"slideshow","Slideshow"
"grid_on","Grid On"
"rotate_right","Rotate Right"
"crop_square","Crop Square"
"crop_free","Crop Free"
"adjust","Adjust"
"style","Style"
"aspect_ratio","Aspect Ratio"
"brightness_6","Brightness 6"
"photo","Photo"
"nature_people","Nature People"
"filter_vintage","Filter Vintage"
"image_search","Image Search"
"crop","Crop"
"blur_on","Blur On"
"center_focus_strong","Center Focus Strong"
"contrast","Contrast"
"compare","Compare"
"looks_two","Looks Two"
"colorize","Colorize"
"rotate_left","Rotate Left"
"flare","Flare"
"filter_none","Filter None"
"wb_incandescent","Wb Incandescent"
"filter_drama","Filter Drama"
"healing","Healing"
"wb_twilight","Wb Twilight"
"looks_3","Looks 3"
"brightness_5","Brightness 5"
"invert_colors","Invert Colors"
"animation","Animation"
"lens","Lens"
"opacity","Opacity"
"incomplete_circle","Incomplete Circle"
"broken_image","Broken Image"
"filter_center_focus","Filter Center Focus"
"add_to_photos","Add To Photos"
"brightness_4","Brightness 4"
"auto_awesome_motion","Auto Awesome Motion"
"flash_off","Flash Off"
"flip","Flip"
"center_focus_weak","Center Focus Weak"
"flip_camera_android","Flip Camera Android"
"mic_external_on","Mic External On"
"lens_blur","Lens Blur"
"web_stories","Web Stories"
"grain","Grain"
"no_photography","No Photography"
"details","Details"
"panorama","Panorama"
"gif_box","GIF Box"
"flaky","Flaky"
"dehaze","Dehaze"
"exposure_plus_1","Exposure Plus 1"
"loupe","Loupe"
"settings_brightness","Settings Brightness"
"auto_awesome_mosaic","Auto Awesome Mosaic"
"looks_4","Looks 4"
"texture","Texture"
"filter_1","Filter 1"
"flip_camera_ios","Flip Camera iOS"
"timer_off","Timer Off"
"panorama_fish_eye","Panorama Fish Eye"
"brightness_1","Brightness 1"
"filter","Filter"
"view_compact","View Compact"
"control_point_duplicate","Control Point Duplicate"
"brightness_7","Brightness 7"
"photo_camera_front","Photo Camera Front"
"transform","Transform"
"photo_album","Photo Album"
"view_comfy","View Comfy"
"linked_camera","Linked Camera"
"hide_image","Hide Image"
"crop_16_9","Crop 16 9"
"looks","Looks"
"looks_5","Looks 5"
"exposure","Exposure"
"rotate_90_degrees_ccw","Rotate 90 Degrees Ccw"
"filter_hdr","Filter Hdr"
"gif","GIF"
"brightness_3","Brightness 3"
"hdr_strong","Hdr Strong"
"leak_add","Leak Add"
"crop_7_5","Crop 7 5"
"gradient","Gradient"
"hdr_auto","Hdr Auto"
"vrpano","Vrpano"
"crop_portrait","Crop Portrait"
"motion_photos_auto","Motion Photos Auto"
"camera_roll","Camera Roll"
"blur_circular","Blur Circular"
"rotate_90_degrees_cw","Rotate 90 Degrees Cw"
"brightness_2","Brightness 2"
"photo_size_select_small","Photo Size Select Small"
"shutter_speed","Shutter Speed"
"looks_6","Looks 6"
"camera_front","Camera Front"
"flash_auto","Flash Auto"
"crop_landscape","Crop Landscape"
"filter_2","Filter 2"
"deblur","Deblur"
"filter_tilt_shift","Filter Tilt Shift"
"monochrome_photos","Monochrome Photos"
"motion_photos_paused","Motion Photos Paused"
"night_sight_auto","Night Sight Auto"
"crop_5_4","Crop 5 4"
"filter_4","Filter 4"
"hdr_weak","Hdr Weak"
"filter_3","Filter 3"
"crop_rotate","Crop Rotate"
"crop_3_2","Crop 3 2"
"tonality","Tonality"
"ev_shadow","Ev Shadow"
"fluorescent","Fluorescent"
"switch_camera","Switch Camera"
"photo_frame","Photo Frame"
"exposure_zero","Exposure Zero"
"photo_size_select_large","Photo Size Select Large"
"macro_off","Macro Off"
"filter_frames","Filter Frames"
"party_mode","Party Mode"
"raw_on","Raw On"
"motion_blur","Motion Blur"
"filter_b_and_w","Filter B And W"
"motion_photos_off","Motion Photos Off"
"exposure_plus_2","Exposure Plus 2"
"photo_camera_back","Photo Camera Back"
"blur_linear","Blur Linear"
"exposure_neg_1","Exposure Neg 1"
"wb_iridescent","Wb Iridescent"
"face_retouching_off","Face Retouching Off"
"switch_video","Switch Video"
"panorama_horizontal","Panorama Horizontal"
"filter_5","Filter 5"
"blur_medium","Blur Medium"
"invert_colors_off","Invert Colors Off"
"filter_7","Filter 7"
"hdr_on","Hdr On"
"burst_mode","Burst Mode"
"panorama_photosphere","Panorama Photosphere"
"grid_off","Grid Off"
"filter_9_plus","Filter 9 Plus"
"timer_10","Timer 10"
"filter_8","Filter 8"
"blur_short","Blur Short"
"dirty_lens","Dirty Lens"
"filter_9","Filter 9"
"wb_shade","Wb Shade"
"no_flash","No Flash"
"filter_6","Filter 6"
"image_aspect_ratio","Image Aspect Ratio"
"trail_length","Trail Length"
"exposure_neg_2","Exposure Neg 2"
"vignette","Vignette"
"timer_3","Timer 3"
"leak_remove","Leak Remove"
"blur_off","Blur Off"
"perm_camera_mic","Perm Camera Mic"
"60fps_select","60fps Select"
"30fps_select","30fps Select"
"trail_length_medium","Trail Length Medium"
"camera_rear","Camera Rear"
"mic_external_off","Mic External Off"
"trail_length_short","Trail Length Short"
"panorama_vertical","Panorama Vertical"
"night_sight_auto_off","Night Sight Auto Off"
"autofps_select","Autofps Select"
"hdr_off","Hdr Off"
"panorama_wide_angle","Panorama Wide Angle"
"hdr_enhanced_select","Hdr Enhanced Select"
"mp","Mp"
"24mp","24mp"
"hdr_on_select","Hdr On Select"
"22mp","22mp"
"10mp","10mp"
"12mp","12mp"
"hdr_plus","Hdr Plus"
"18mp","18mp"
"hdr_auto_select","Hdr Auto Select"
"raw_off","Raw Off"
"wb_auto","Wb Auto"
"9mp","9mp"
"13mp","13mp"
"hevc","Hevc"
"20mp","20mp"
"5mp","5mp"
"7mp","7mp"
"15mp","15mp"
"hdr_off_select","Hdr Off Select"
"16mp","16mp"
"19mp","19mp"
"23mp","23mp"
"2mp","2mp"
"8mp","8mp"
"14mp","14mp"
"3mp","3mp"
"6mp","6mp"
"11mp","11mp"
"21mp","21mp"
"4mp","4mp"
"17mp","17mp"
"gallery_thumbnail","Gallery Thumbnail"
"masked_transitions","Masked Transitions"
"motion_photos_on","Motion Photos On"
"settings_b_roll","Settings B Roll"
"vr180_create2d","Vr180 Create2d"
"settings_photo_camera","Settings Photo Camera"
"photo_prints","Photo Prints"
"settings_video_camera","Settings Video Camera"
"planner_banner_ad_pt","Planner Banner Ad Pt"
"settings_timelapse","Settings Timelapse"
"unknown_2","Unknown 2"
"50mp","50mp"
"settings_night_sight","Settings Night Sight"
"settings_panorama","Settings Panorama"
"settings_motion_mode","Settings Motion Mode"
"motion_mode","Motion Mode"
"photo_auto_merge","Photo Auto Merge"
"settings_cinematic_blur","Settings Cinematic Blur"
"vr180_create2d_off","Vr180 Create2d Off"
"filter_retrolux","Filter Retrolux"
"background_dot_large","Background Dot Large"
"background_grid_small","Background Grid Small"
"texture_add","Texture Add"
"high_res","High Res"
"settings_slow_motion","Settings Slow Motion"
"shutter_speed_add","Shutter Speed Add"
"texture_minus","Texture Minus"
"transition_dissolve","Transition Dissolve"
"transition_fade","Transition Fade"
"crop_9_16","Crop 9 16"
"high_density","High Density"
"macro_auto","Macro Auto"
"background_dot_small","Background Dot Small"
"contrast_rtl_off","Contrast Rtl Off"
"ev_shadow_add","Ev Shadow Add"
"low_density","Low Density"
"shutter_speed_minus","Shutter Speed Minus"
"transition_slide","Transition Slide"
"ev_shadow_minus","Ev Shadow Minus"
"hdr_plus_off","Hdr Plus Off"
"transition_push","Transition Push"
"transition_chop","Transition Chop"
"shopping_cart","Shopping Cart"
"payments","Payments"
"shopping_bag","Shopping Bag"
"monitoring","Monitoring"
"credit_card","Credit Card"
"receipt_long","Receipt Long"
"attach_money","Attach Money"
"database","Database"
"storefront","Storefront"
"trending_up","Trending Up"
"sell","Sell"
"account_balance","Account Balance"
"work","Work"
"paid","Paid"
"account_balance_wallet","Account Balance Wallet"
"analytics","Analytics"
"query_stats","Query Stats"
"store","Store"
"savings","Savings"
"monetization_on","Monetization On"
"calculate","Calculate"
"qr_code_scanner","Qr Code Scanner"
"bar_chart","Bar Chart"
"account_tree","Account Tree"
"add_shopping_cart","Add Shopping Cart"
"receipt","Receipt"
"redeem","Redeem"
"currency_exchange","Currency Exchange"
"trending_flat","Trending Flat"
"shopping_basket","Shopping Basket"
"qr_code_2","Qr Code 2"
"domain","Domain"
"precision_manufacturing","Precision Manufacturing"
"qr_code","Qr Code"
"leaderboard","Leaderboard"
"corporate_fare","Corporate Fare"
"timeline","Timeline"
"insert_chart","Insert Chart"
"currency_rupee","Currency Rupee"
"wallet","Wallet"
"show_chart","Show Chart"
"work_history","Work History"
"euro","Euro"
"meeting_room","Meeting Room"
"credit_score","Credit Score"
"barcode_scanner","Barcode Scanner"
"pie_chart","Pie Chart"
"loyalty","Loyalty"
"copyright","Copyright"
"conversion_path","Conversion Path"
"barcode","Barcode"
"trending_down","Trending Down"
"track_changes","Track Changes"
"price_check","Price Check"
"euro_symbol","Euro Symbol"
"schema","Schema"
"add_business","Add Business"
"add_card","Add Card"
"card_membership","Card Membership"
"currency_bitcoin","Currency Bitcoin"
"price_change","Price Change"
"donut_large","Donut Large"
"production_quantity_limits","Production Quantity Limits"
"tenancy","Tenancy"
"data_exploration","Data Exploration"
"bubble_chart","Bubble Chart"
"donut_small","Donut Small"
"contactless","Contactless"
"money","Money"
"stacked_line_chart","Stacked Line Chart"
"stacked_bar_chart","Stacked Bar Chart"
"toll","Toll"
"money_off","Money Off"
"cases","Cases"
"currency_yen","Currency Yen"
"area_chart","Area Chart"
"currency_pound","Currency Pound"
"atr","Atr"
"remove_shopping_cart","Remove Shopping Cart"
"room_preferences","Room Preferences"
"add_chart","Add Chart"
"shop","Shop"
"domain_add","Domain Add"
"grouped_bar_chart","Grouped Bar Chart"
"card_travel","Card Travel"
"legend_toggle","Legend Toggle"
"scatter_plot","Scatter Plot"
"credit_card_off","Credit Card Off"
"mediation","Mediation"
"ssid_chart","Ssid Chart"
"candlestick_chart","Candlestick Chart"
"waterfall_chart","Waterfall Chart"
"full_stacked_bar_chart","Full Stacked Bar Chart"
"currency_ruble","Currency Ruble"
"domain_disabled","Domain Disabled"
"shop_two","Shop Two"
"strikethrough_s","Strikethrough S"
"atm","Atm"
"next_week","Next Week"
"multiline_chart","Multiline Chart"
"currency_lira","Currency Lira"
"currency_yuan","Currency Yuan"
"troubleshoot","Troubleshoot"
"no_meeting_room","No Meeting Room"
"shoppingmode","Shoppingmode"
"currency_franc","Currency Franc"
"finance_mode","Finance Mode"
"data_table","Data Table"
"source_environment","Source Environment"
"bar_chart_4_bars","Bar Chart 4 Bars"
"finance","Finance"
"orders","Orders"
"enterprise","Enterprise"
"bid_landscape","Bid Landscape"
"chart_data","Chart Data"
"contactless_off","Contactless Off"
"podium","Podium"
"universal_currency_alt","Universal Currency Alt"
"conveyor_belt","Conveyor Belt"
"network_node","Network Node"
"family_history","Family History"
"planner_review","Planner Review"
"quick_reorder","Quick Reorder"
"flowsheet","Flowsheet"
"energy","Energy"
"order_approve","Order Approve"
"checkbook","Checkbook"
"send_money","Send Money"
"universal_currency","Universal Currency"
"box","Box"
"mintmark","Mintmark"
"forklift","Forklift"
"qr_code_2_add","Qr Code 2 Add"
"inactive_order","Inactive Order"
"box_add","Box Add"
"mitre","Mitre"
"front_loader","Front Loader"
"pallet","Pallet"
"trolley","Trolley"
"barcode_reader","Barcode Reader"
"enterprise_off","Enterprise Off"
"work_alert","Work Alert"
"bid_landscape_disabled","Bid Landscape Disabled"
"work_update","Work Update"
"conversion_path_off","Conversion Path Off"
"order_play","Order Play"
"box_edit","Box Edit"
"credit_card_heart","Credit Card Heart"
