"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"Donation History","Comment","Amount"
"13 September 2023","","$3.00 USD"
"13 September 2023","","$10.00 USD"
"13 September 2023","","$1.00 USD"
"13 September 2023","A must have tool for Windows. It should be built into the OS by default as it's so much better than default search.","$20.00 AUD"
"13 September 2023","","$25.00 AUD"
"12 September 2023","","$5.00 USD"
"12 September 2023","","$30.00 USD"
"12 September 2023","I have been looking for a file for 3 hours. With your program? Less than a second. I just wish I had found this years ago.","$20.00 USD"
"11 September 2023","","$30.00 USD"
"11 September 2023","","$30.00 USD"
"11 September 2023","Everything is awesome!","£10.00 GBP"
"10 September 2023","","$3.69 USD"
"10 September 2023","Thank you for making this amazing tool. Hope it continues to be updated for many years to come.","$10.00 USD"
"10 September 2023","","$5.00 USD"
"10 September 2023","Works great,thank you!","$20.00 USD"
"10 September 2023","","$20.00 USD"
"10 September 2023","","$20.00 USD"
"10 September 2023","","€5.00 EUR"
"9 September 2023","","$2.00 USD"
"9 September 2023","","$10.00 USD"
"9 September 2023","","$20.00 USD"
"8 September 2023","great program ! saved me lots of time!","€5.00 EUR"
"8 September 2023","","$1.00 USD"
"8 September 2023","Very useful application! I use it many times every day.","$10.00 USD"
"7 September 2023","The first thing I install on any PC I use. It's absolutely essential. I love the frequent updates, responsive forum support, & all the hard work you do. - Derek","$20.00 USD"
"7 September 2023","","€10.00 EUR"
"7 September 2023","","₪20.00 ILS"
"6 September 2023","Excellent program! I use it every day.","$10.00 USD"
"6 September 2023","Thanks for this awesome piece of software","€9.00 EUR"
"6 September 2023","","$20.00 USD"
"6 September 2023","This app has saved my butt since I first used it in 2009. Thank you so much!!!","$20.00 USD"
"5 September 2023","","$40.00 USD"
"4 September 2023","Awesome app, useful for my daily flow. Appreciate you looking into my issue personally.","$50.00 USD"
"3 September 2023","","$10.00 USD"
"3 September 2023","","$20.00 USD"
"3 September 2023","Makes finding misplaced files so much easier to find. Useful when I'm trying to find where a program is writing files too.","$10.00 USD"
"3 September 2023","thank you","$5.00 USD"
"3 September 2023","","£2.00 GBP"
"3 September 2023","","$2.00 USD"
"2 September 2023","","$20.00 USD"
"2 September 2023","","$10.00 USD"
"1 September 2023","Would love to see an android version of this.","$5.00 USD"
"1 September 2023","This program is amazing, I use it for work all the time and it's a life saver","$50.00 USD"
"1 September 2023","This tool is an essential part of my workflow. I don't know what I'd do without it!","$100.00 USD"
